domain,bakshy_avg_align,bakshy_l2,bakshy_l1,bakshy_n,bakshy_r1,bakshy_r2,bakshy_is_news
washingtonexaminer.com,0.82045,0.00155,0.0135,0.01075,0.33455,0.63965,1
washingtonpost.com,-0.2568,0.2089,0.3615,0.2132,0.1598,0.0567,1
washingtontimes.com,0.6975,0.0049,0.015,0.0267,0.473,0.4805,1
wbaltv.com,-0.0221,0.034,0.2902,0.5514,0.1086,0.0159,1
wcvb.com,-0.185,0.0272,0.3479,0.5806,0.0408,0.0034,1
weaselzippers.us,1.0295,0.0,0.0002,0.0006,0.13,0.8692,1
weeklystandard.com,0.9074,0.0004,0.0,0.0231,0.0985,0.8781,1
westernjournalism.com,0.8991,0.0,0.0,0.0001,0.219,0.7808,1
wfaa.com,0.1198,0.0148,0.047,0.5906,0.3393,0.0082,1
wfla.com,0.041,0.006,0.0931,0.6402,0.2525,0.0082,1
wfmz.com,-0.0973,0.0257,0.1756,0.6908,0.1002,0.0078,1
wfsb.com,-0.1726,0.0205,0.4086,0.5298,0.0386,0.0026,1
wftv.com,-0.2162,0.0233,0.4287,0.4862,0.0565,0.0053,1
wgntv.com,-0.3593,0.0427,0.5848,0.2707,0.0994,0.0025,1
whio.com,-0.0029,0.0104,0.1408,0.6881,0.1502,0.0105,1
whitehouse.gov,-0.5325,0.4957,0.3248,0.1266,0.0499,0.003,1
whnt.com,0.265,0.0006,0.017,0.1612,0.8152,0.006,1
wired.com,-0.4027,0.0445,0.6135,0.31,0.0258,0.0061,1
wjla.com,-0.3195,0.0871,0.4446,0.3086,0.1435,0.0162,1
wmur.com,0.098,0.0767,0.0543,0.7367,0.1209,0.0113,1
wnd.com,0.9013,0.0,0.0,0.0003,0.264,0.7357,1
wnep.com,-0.0328,0.0125,0.1014,0.7843,0.0988,0.003,1
worldstarhiphop.com,-0.7047,0.4041,0.5942,0.001,0.0006,0.0,1
worldtruth.tv,-0.0491,0.001,0.0986,0.8306,0.0697,0.0001,1
woundedamericanwarrior.com,0.8614,0.0,0.0,0.001,0.5539,0.4451,1
wpxi.com,-0.2221,0.0465,0.2302,0.6782,0.0424,0.0027,1
wral.com,-0.0685,0.1767,0.2693,0.3081,0.2208,0.0251,1
wsbtv.com,-0.0872,0.0247,0.2159,0.5769,0.1715,0.011,1
wsfa.com,0.1107,0.0189,0.1382,0.419,0.4082,0.0157,1
wsj.com,0.2754,0.0101,0.1253,0.1632,0.6209,0.0805,1
wtsp.com,-0.0038,0.028,0.306,0.5243,0.1213,0.0205,1
wtvr.com,-0.0734,0.0691,0.153,0.7082,0.0661,0.0037,1
wusa9.com,-0.4447,0.0902,0.5828,0.2755,0.0515,0.0,1
wxyz.com,-0.3539,0.0662,0.3532,0.5462,0.033,0.0015,1
ynetnews.com,0.3335,0.0229,0.146,0.3353,0.4418,0.0539,1
youngcons.com,0.9684999999999999,0.0,0.0,0.0,0.1725,0.8274999999999999,1
yournewswire.com,-0.2572,0.04,0.3849,0.4454,0.1222,0.0075,1
youtube.com,0.0634,0.1533,0.2184,0.1947,0.2606,0.173,0
zerohedge.com,0.4721,0.0032,0.0218,0.2158,0.5655,0.1936,1
